Temp_C,Rel Hum_%,Press_kPa,Wind Speed_km/h,weather
-6.8,77,102.61,7,Cloudy
-3.4,76,102.19,11,Cloudy
-4.2,77,102.16,11,Cloudy
-4.7,78,102.17,7,Cloudy
-5.3,78,102.1,0,Cloudy
-4.5,85,101.98,11,Cloudy
-4,77,102.07,20,Cloudy
-4.9,65,102.11,15,Cloudy
-11.1,83,101.97,9,Foggy
-10.5,86,101.95,11,Cloudy
-5.5,61,101.63,20,Cloudy
-5.3,62,101.55,15,Cloudy
-4.7,63,101.48,6,Cloudy
-4.2,64,101.43,9,Cloudy
-3.9,64,101.41,15,Cloudy
-3.1,66,101.34,15,Cloudy
-2.8,67,101.25,24,Cloudy
-2.5,67,101.18,26,Cloudy
-2.1,71,101.06,28,Cloudy
-1.5,73,100.93,30,Cloudy
-0.7,72,100.86,30,Cloudy
-0.8,72,100.8,24,Cloudy
0.1,78,100.77,30,Cloudy
1,70,100.7,26,Cloudy
1.1,71,100.63,32,Cloudy
1.2,71,100.62,37,Cloudy
1.1,70,100.63,33,Cloudy
1.1,71,100.62,32,Cloudy
1.4,71,100.6,32,Cloudy
1.9,71,100.57,35,Cloudy
2.6,70,100.5,22,Cloudy
2.6,67,100.47,32,Cloudy
3,63,100.45,33,Cloudy
3.3,62,100.46,30,Cloudy
3.3,63,100.47,17,Cloudy
2.9,66,100.51,13,Cloudy
3.2,65,100.57,11,Cloudy
3.1,66,100.62,13,Cloudy
2.6,69,100.65,11,Cloudy
3,69,100.67,15,Cloudy
2.7,68,100.68,13,Cloudy
2.2,69,100.7,13,Cloudy
1.9,69,100.77,13,Cloudy
1.8,68,100.82,15,Cloudy
1.5,65,100.89,15,Cloudy
-1,58,101.03,19,Cloudy
-2.9,64,101.27,20,Cloudy
-0.5,78,101.09,20,Cloudy
-0.9,78,101.12,17,Cloudy
-0.1,78,101.12,19,Cloudy
0.9,71,101.1,28,Cloudy
1.4,67,101.08,20,Cloudy
1.4,68,100.97,24,Cloudy
1.3,64,100.92,24,Cloudy
1.1,71,100.91,30,Cloudy
1.3,68,100.94,28,Cloudy
1,69,100.9,30,Cloudy
0.9,66,100.87,22,Cloudy
0.4,68,100.92,17,Cloudy
0,68,100.91,17,Cloudy
-0.4,73,100.84,13,Cloudy
-13.7,64,101.04,20,Cloudy
-12.1,70,100.85,7,Cloudy
-15.3,51,100.62,11,Cloudy
-16.6,54,100.6,11,Cloudy
-16.9,54,100.68,17,Cloudy
-16.6,48,100.73,17,Cloudy
-12.3,52,100.57,24,Cloudy
-11.9,54,100.58,24,Cloudy
-11.3,53,100.58,22,Cloudy
-10.8,52,100.55,24,Cloudy
-10.6,55,100.55,26,Cloudy
-10.3,56,100.53,20,Cloudy
-9.4,56,100.37,22,Cloudy
-8.8,57,100.33,24,Cloudy
-8.8,63,100.31,20,Cloudy
-8.4,61,100.3,20,Cloudy
-8,57,100.33,22,Cloudy
-7.9,59,100.37,22,Cloudy
-7.9,59,100.44,22,Cloudy
-8,65,100.54,24,Cloudy
-7.5,57,100.56,20,Cloudy
-6.8,37,100.59,26,Cloudy
-6.5,60,100.59,20,Cloudy
-5.2,54,100.56,17,Cloudy
-4.9,49,100.52,24,Cloudy
-4.3,49,100.52,22,Cloudy
-3.4,50,100.54,24,Cloudy
-3.4,48,100.56,24,Cloudy
-3.6,45,100.6,15,Cloudy
-4.9,51,100.64,0,Cloudy
-5.6,61,100.69,15,Cloudy
-7.2,69,100.73,7,Cloudy
-9,73,100.78,13,Cloudy
-10.8,72,100.8,19,Cloudy
-11.8,73,100.83,15,Cloudy
-13.2,61,100.96,9,Cloudy
-13.4,61,101.01,11,Cloudy
-13.4,59,101.03,4,Cloudy
-5,65,101.14,0,Cloudy
-3.2,68,101.09,4,Cloudy
-2.1,72,101.02,4,Cloudy
0.1,68,100.98,9,Cloudy
1.1,62,100.98,9,Cloudy
2.3,59,100.97,7,Cloudy
1.1,70,101.01,9,Cloudy
1.3,68,101.08,9,Cloudy
1.8,56,101.13,7,Cloudy
-0.2,69,101.16,4,Cloudy
-0.5,68,101.21,0,Cloudy
-1.2,72,101.22,0,Cloudy
-1.9,76,101.26,4,Cloudy
-1.8,78,101.31,4,Cloudy
-1.2,74,101.33,0,Cloudy
-1.6,75,101.36,4,Cloudy
1.9,88,101.72,6,Cloudy
2.2,87,101.75,6,Rainy
2.1,88,101.8,6,Rainy
1.5,91,101.85,7,Rainy
1.5,91,101.89,7,Rainy
